,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,9877.0,10023.0,10017.0,10197.0,10162.0,10087.0,9958.0,9954.0,9942.0,9983.0,10052.0,10026.0,9877.0,9966.0,9886.0,10119.0,10158.0,9951.0,10099.0,10076.0
1,9745.294,9872.452,9882.986,10058.233,10020.912,9948.521,9831.402,9810.076,9804.039,9838.205,9909.068,9891.491,9747.532,9825.952,9758.586,9992.237,10013.598,9815.513,9968.081,9933.017
2,9619.795,9737.666,9759.343,9926.332,9897.605,9828.543,9717.475,9680.923,9682.775,9716.095,9774.041,9767.743,9629.043,9694.77,9649.031,9865.608,9882.38,9702.297,9848.593,9811.377
3,9518.213,9627.666,9655.604,9806.307,9789.551,9719.931,9609.66,9562.712,9566.535,9612.958,9654.558,9662.644,9526.103,9589.135,9547.207,9756.277,9770.84,9597.188,9744.893,9700.024
4,9434.678,9542.64,9566.148,9707.946,9704.17,9623.864,9518.193,9470.032,9469.684,9519.981,9548.874,9573.682,9435.693,9492.785,9464.826,9663.19,9678.1455,9513.832,9661.599,9601.81
5,9367.692,9475.63,9488.627,9628.054,9629.401,9544.939,9440.557,9388.859,9377.838,9440.708,9464.983,9503.452,9363.288,9416.383,9399.451,9578.194,9596.308,9443.214,9592.514,9521.401
6,9317.951,9424.228,9432.041,9565.993,9576.847,9484.051,9376.575,9326.257,9304.57,9378.399,9397.684,9454.457,9303.864,9363.961,9342.022,9507.351,9534.808,9385.816,9541.533,9453.132
7,9281.766,9398.106,9393.686,9517.302,9548.98,9438.376,9327.15,9285.044,9244.041,9323.417,9341.531,9423.134,9265.768,9325.317,9307.923,9454.642,9492.183,9341.788,9507.837,9404.804
8,9269.649,9387.976,9379.058,9486.803,9534.179,9410.074,9288.823,9260.909,9199.175,9291.261,9307.052,9408.634,9247.277,9306.614,9296.17,9409.78,9472.712,9316.983,9489.561,9369.478
9,9274.075,9408.11,9386.272,9470.084,9535.152,9399.829,9258.741,9254.946,9168.455,9268.512,9292.964,9413.181,9241.632,9310.388,9294.671,9375.403,9466.877,9314.09,9491.037,9349.785
10,9302.43,9451.969,9402.021,9472.994,9549.703,9407.021,9248.561,9268.031,9156.363,9264.73,9289.142,9432.106,9248.98,9327.735,9312.574,9358.228,9480.124,9324.886,9499.797,9345.625
11,9345.702,9512.485,9440.516,9483.35,9584.108,9429.039,9251.416,9301.972,9154.283,9275.405,9301.201,9476.529,9276.163,9362.33,9348.079,9356.216,9513.923,9348.083,9533.862,9359.603
12,9402.372,9595.9,9495.124,9519.022,9636.471,9467.066,9271.171,9351.81,9157.5205,9301.667,9334.185,9539.238,9325.683,9418.631,9400.397,9372.065,9564.699,9390.4795,9581.643,9387.779
13,9485.047,9704.062,9573.124,9570.148,9705.372,9524.495,9296.105,9423.125,9177.495,9342.608,9383.3955,9617.661,9383.055,9495.73,9470.464,9392.678,9628.9795,9443.401,9650.508,9426.185
14,9585.047,9831.687,9668.842,9639.858,9789.732,9597.742,9335.73,9511.199,9209.322,9391.249,9446.907,9717.29,9464.016,9591.191,9554.215,9431.9,9713.597,9518.374,9734.966,9488.798
15,9702.47,9980.612,9778.479,9725.888,9883.783,9682.257,9387.331,9610.967,9252.202,9457.099,9525.467,9839.792,9559.605,9706.771,9655.669,9482.313,9814.95,9608.274,9839.499,9566.168
16,9835.094,10159.242,9905.5205,9831.591,10003.044,9776.89,9457.56,9730.454,9305.068,9537.09,9619.895,9977.314,9670.669,9839.93,9766.547,9548.866,9936.024,9719.983,9954.175,9653.687
17,9986.943,10353.891,10050.613,9952.209,10136.387,9899.148,9533.285,9866.617,9376.848,9636.975,9736.854,10133.694,9800.151,9994.197,9906.132,9623.606,10073.018,9840.175,10087.5625,9751.231
18,10156.499,10569.218,10211.189,10089.557,10292.059,10034.329,9617.691,10022.778,9455.297,9749.076,9866.478,10309.606,9944.044,10164.404,10061.23,9713.667,10226.724,9980.3955,10239.032,9864.569
19,10344.695,10807.068,10390.776,10245.851,10455.109,10186.772,9718.754,10190.303,9549.852,9871.397,10013.225,10507.71,10106.652,10357.796,10235.529,9816.757,10398.476,10134.744,10412.229,9995.188
20,10553.898,11077.075,10586.775,10411.773,10630.865,10352.993,9827.436,10373.3545,9654.183,10007.288,10178.163,10717.832,10290.466,10573.131,10423.435,9932.842,10584.225,10315.808,10600.507,10140.463
21,10777.979,11372.454,10794.747,10598.914,10826.108,10535.437,9944.434,10576.975,9765.126,10151.068,10358.614,10950.037,10488.99,10799.963,10621.805,10063.781,10784.927,10508.311,10796.801,10298.852
22,11016.645,11679.12,11031.475,10805.305,11027.045,10732.893,10075.328,10786.368,9888.923,10318.376,10558.968,11203.804,10706.623,11049.351,10840.272,10202.476,10996.654,10717.478,11016.891,10475.096
23,11273.124,12021.855,11283.049,11033.738,11252.224,10945.512,10215.079,11015.219,10022.976,10493.607,10778.673,11473.598,10940.383,11319.149,11079.809,10355.824,11226.746,10940.228,11253.201,10659.826
24,11547.814,12387.281,11541.299,11268.693,11491.629,11172.517,10369.534,11255.672,10164.501,10678.625,11010.948,11761.971,11191.236,11613.632,11334.259,10523.984,11472.058,11184.593,11509.338,10859.752
25,11841.76,12776.462,11822.413,11524.063,11744.0625,11410.436,10533.978,11517.327,10320.521,10884.034,11269.575,12076.25,11456.137,11916.503,11604.689,10703.145,11743.826,11446.756,11781.067,11073.638
26,12144.109,13180.679,12116.987,11798.523,12010.682,11666.009,10704.782,11793.406,10486.47,11098.444,11536.121,12405.506,11732.619,12243.34,11886.836,10896.003,12026.717,11723.935,12067.047,11301.036
27,12461.966,13605.783,12430.285,12080.828,12291.851,11931.865,10893.178,12087.808,10658.066,11331.974,11825.154,12748.297,12032.038,12583.645,12186.837,11107.862,12323.871,12017.311,12368.882,11539.889
28,12789.053,14042.26,12759.254,12382.418,12586.012,12221.161,11088.509,12394.989,10845.056,11569.947,12128.145,13101.849,12353.402,12944.216,12495.417,11324.519,12641.093,12324.326,12685.237,11792.241
29,13126.752,14503.548,13115.228,12702.554,12896.129,12514.042,11292.553,12727.451,11038.636,11831.254,12442.743,13471.38,12680.982,13316.281,12825.696,11554.325,12978.943,12645.162,13014.462,12052.714
30,13477.462,14984.177,13467.544,13034.009,13214.725,12827.364,11507.137,13070.384,11243.094,12098.023,12773.159,13857.339,13034.08,13710.248,13170.612,11805.17,13318.893,12988.079,13353.237,12339.084
31,13841.172,15493.75,13841.904,13381.66,13558.753,13156.444,11730.615,13424.374,11458.582,12386.99,13121.731,14260.603,13400.491,14124.665,13531.459,12056.153,13682.309,13349.307,13716.238,12637.241
32,14218.3955,16006.965,14226.65,13749.11,13907.569,13497.534,11961.4795,13796.908,11679.331,12673.593,13482.971,14682.268,13786.764,14551.714,13901.578,12330.32,14063.559,13736.023,14098.403,12943.12
33,14587.669,16521.451,14624.455,14121.207,14262.948,13847.659,12196.5,14171.311,11913.457,12978.094,13854.87,15100.527,14175.352,14980.313,14278.979,12610.877,14444.073,14127.093,14486.434,13266.543
34,14959.389,17043.305,15021.796,14492.781,14626.506,14208.922,12431.559,14544.528,12144.921,13287.389,14227.514,15527.334,14574.064,15422.398,14656.716,12887.866,14837.588,14521.409,14876.826,13578.623
35,15338.325,17570.629,15447.92,14879.919,15007.242,14581.699,12679.247,14939.013,12386.009,13600.844,14616.509,15963.677,14978.555,15865.317,15055.5,13176.865,15247.055,14935.385,15282.188,13908.829
36,15720.691,18118.473,15885.427,15275.444,15399.93,14962.092,12929.309,15345.346,12633.001,13931.275,15018.141,16415.088,15390.993,16327.447,15470.043,13478.277,15671.963,15369.973,15706.259,14254.267
37,16123.183,18686.658,16348.984,15694.974,15813.542,15362.166,13194.088,15764.266,12890.414,14270.834,15428.479,16891.186,15826.389,16815.385,15893.284,13799.199,16115.421,15823.869,16151.854,14611.152
38,16519.898,19251.428,16806.03,16111.638,16219.638,15759.906,13447.848,16183.461,13152.609,14600.648,15832.534,17363.857,16264.963,17305.514,16316.552,14117.618,16555.637,16272.02,16598.096,14966.112
39,16902.377,19810.576,17283.0,16530.135,16625.883,16166.044,13709.098,16604.896,13411.92,14940.113,16239.086,17845.574,16710.014,17798.77,16753.105,14438.457,17002.254,16737.824,17041.123,15331.975
40,17289.707,20385.01,17761.244,16952.113,17054.572,16582.164,13978.783,17037.562,13677.136,15279.159,16651.455,18342.271,17173.477,18308.01,17201.812,14772.923,17468.104,17219.324,17501.004,15697.398
