,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,9877.0,10023.0,10017.0,10197.0,10162.0,10087.0,9958.0,9954.0,9942.0,9983.0,10052.0,10026.0,9877.0,9966.0,9886.0,10119.0,10158.0,9951.0,10099.0,10076.0
1,9745.294,9872.452,9882.986,10058.233,10020.912,9948.521,9831.402,9810.076,9804.039,9838.205,9909.068,9891.491,9747.532,9825.952,9758.586,9992.237,10013.598,9815.513,9968.081,9933.017
2,9628.201,9747.965,9767.699,9934.003,9906.3125,9836.02,9724.195,9689.138,9688.836,9722.855,9782.077,9776.263,9636.563,9702.938,9656.812,9871.27,9890.618,9709.353,9856.907,9818.671
3,9544.128,9659.567,9681.257,9830.16,9815.98,9743.07,9630.142,9587.953,9585.073,9633.883,9679.466,9689.073,9549.336,9614.556,9571.166,9773.922,9796.075,9618.989,9770.271,9722.604
4,9487.576,9607.985,9618.287,9756.953,9757.4,9671.182,9559.569,9521.366,9507.248,9562.777,9599.876,9627.892,9483.198,9545.056,9513.737,9699.545,9729.35,9558.483,9712.965,9648.012
5,9457.265,9586.5,9576.538,9711.49,9718.326,9625.105,9509.91,9475.356,9440.95,9513.231,9551.629,9595.615,9443.884,9505.407,9482.322,9640.221,9682.393,9518.986,9678.838,9599.712
6,9454.12,9592.9375,9565.002,9693.29,9710.319,9605.848,9480.975,9457.043,9399.812,9488.584,9529.723,9595.036,9426.504,9500.02,9467.975,9602.199,9664.639,9501.125,9671.892,9572.047
7,9474.489,9637.556,9581.219,9698.049,9735.943,9610.63,9473.709,9469.257,9377.91,9479.198,9528.626,9622.77,9439.69,9518.775,9486.172,9589.59,9674.775,9505.241,9691.315,9572.988
8,9529.19,9710.961,9630.796,9730.791,9783.421,9641.758,9484.272,9507.588,9378.151,9500.837,9559.426,9678.116,9481.919,9568.195,9536.453,9592.078,9717.205,9537.39,9735.428,9595.477
9,9610.889,9828.922,9712.202,9787.208,9855.446,9699.92,9510.115,9573.366,9399.081,9539.959,9621.174,9763.746,9546.679,9651.372,9606.672,9612.789,9782.296,9600.651,9808.844,9642.389
10,9727.46,9985.262,9811.583,9873.698,9949.668,9784.939,9563.005,9667.428,9445.39,9606.383,9703.832,9875.256,9634.615,9759.336,9706.515,9658.422,9875.817,9687.045,9898.587,9713.465
11,9869.862,10172.917,9944.297,9977.618,10072.95,9894.036,9635.937,9791.848,9508.311,9695.804,9812.873,10024.484,9752.622,9896.189,9834.4,9727.462,9999.384,9795.59,10023.845,9811.965
12,10036.528,10399.02,10103.568,10118.139,10223.492,10028.776,9733.172,9941.837,9582.77,9809.514,9954.599,10204.273,9904.293,10067.022,9990.309,9822.892,10149.699,9933.167,10172.364,9934.18
13,10241.373,10668.141,10297.118,10285.326,10400.008,10192.934,9841.888,10123.437,9680.908,9946.79,10125.035,10412.211,10074.908,10271.215,10175.545,9931.194,10323.272,10091.776,10353.178,10075.542
14,10474.209,10971.495,10519.449,10483.0,10599.868,10383.246,9973.008,10331.573,9797.717,10100.531,10321.99,10654.558,10281.5,10507.18,10386.611,10067.389,10527.257,10283.897,10560.145,10251.963
15,10740.141,11317.659,10767.904,10709.417,10831.47,10594.914,10123.587,10558.068,9932.529,10281.109,10547.166,10927.081,10514.291,10773.326,10628.18,10224.037,10758.115,10501.751,10799.077,10453.623
16,11031.517,11713.138,11037.904,10967.437,11081.182,10838.485,10301.293,10817.396,10084.307,10485.14,10802.652,11231.48,10774.827,11073.572,10898.326,10404.414,11019.5625,10754.393,11059.581,10675.186
17,11352.935,12140.462,11343.148,11250.571,11360.911,11110.655,10488.383,11107.269,10263.34,10715.554,11093.624,11569.462,11068.439,11407.936,11202.424,10604.54,11307.687,11031.596,11348.71,10917.249
18,11701.173,12606.135,11674.778,11567.878,11665.974,11406.004,10703.322,11425.105,10455.335,10970.005,11417.457,11940.566,11395.441,11780.46,11531.854,10831.022,11617.243,11334.552,11672.41,11186.218
19,12076.703,13116.827,12039.964,11906.592,11993.705,11731.116,10934.073,11763.466,10663.193,11247.536,11765.641,12343.386,11751.399,12177.941,11894.492,11080.222,11960.569,11666.096,12028.314,11485.1045
20,12480.53,13655.037,12428.746,12272.181,12353.183,12083.85,11182.93,12131.834,10897.216,11547.41,12143.982,12770.875,12138.206,12605.566,12276.074,11348.797,12331.359,12037.755,12407.383,11803.241
21,12901.475,14227.605,12851.547,12675.329,12735.234,12455.957,11443.379,12528.417,11142.624,11864.287,12546.336,13236.11,12545.872,13054.769,12683.882,11646.036,12723.837,12427.379,12805.491,12152.509
22,13340.927,14832.745,13299.559,13105.679,13147.941,12862.011,11726.509,12943.768,11411.766,12212.473,12971.945,13717.943,12983.3125,13533.309,13118.12,11967.122,13138.368,12853.026,13235.559,12532.598
23,13798.081,15469.183,13772.09,13564.594,13587.89,13283.884,12028.21,13389.204,11694.934,12581.369,13433.553,14230.88,13451.696,14049.464,13572.978,12308.069,13583.15,13303.96,13690.234,12928.037
24,14279.14,16132.144,14263.284,14045.556,14046.83,13736.211,12354.965,13861.904,11996.721,12971.723,13918.105,14781.138,13952.708,14585.569,14057.537,12672.698,14047.8955,13781.856,14177.995,13350.051
25,14773.937,16813.104,14784.6875,14559.19,14526.671,14216.238,12695.3,14361.754,12311.157,13389.377,14425.595,15358.295,14478.23,15164.837,14571.746,13059.895,14549.326,14294.855,14686.985,13796.269
26,15289.258,17520.502,15347.929,15095.133,15036.96,14717.586,13044.655,14883.055,12645.482,13819.833,14953.933,15954.398,15027.905,15768.951,15096.159,13469.631,15084.773,14841.0625,15222.953,14265.479
27,15820.797,18262.436,15944.479,15650.295,15571.392,15256.725,13419.772,15437.3125,13001.991,14273.752,15515.584,16577.395,15604.841,16412.809,15662.4375,13887.557,15654.055,15412.63,15785.34,14757.086
28,16380.567,19024.336,16577.412,16233.418,16134.968,15823.9,13813.096,16022.882,13383.271,14758.686,16108.116,17236.262,16205.798,17084.705,16246.957,14340.558,16256.575,16017.098,16374.92,15275.221
29,16948.877,19825.592,17224.773,16841.271,16717.043,16419.334,14225.278,16637.143,13775.269,15264.299,16717.2,17921.582,16839.713,17786.184,16863.45,14820.359,16871.484,16661.568,16986.23,15814.154
30,17532.402,20642.514,17905.064,17482.543,17327.074,17032.746,14656.669,17260.51,14183.57,15792.117,17354.432,18629.494,17500.52,18521.115,17523.223,15316.797,17530.824,17341.336,17630.123,16384.447
31,18125.195,21497.498,18612.775,18141.678,17964.89,17680.668,15093.545,17930.678,14611.102,16344.234,18021.314,19377.91,18206.229,19281.928,18212.14,15854.039,18216.795,18052.408,18312.916,16981.182
32,18749.94,22392.451,19380.246,18847.26,18649.314,18381.262,15578.789,18649.467,15074.904,16922.83,18725.66,20165.68,18949.686,20096.512,18937.549,16430.08,18947.295,18818.25,19040.48,17612.59
33,19382.975,23320.877,20195.82,19584.312,19369.043,19117.361,16085.004,19389.783,15554.263,17541.877,19468.047,20994.62,19732.482,20953.766,19703.088,17031.646,19713.879,19630.809,19815.062,18272.195
34,20047.334,24300.549,21039.17,20351.17,20128.072,19888.506,16607.133,20157.068,16063.575,18171.729,20230.988,21855.475,20539.164,21853.693,20513.693,17647.338,20533.436,20479.9,20621.936,18960.6
35,20729.143,25316.895,21913.027,21152.754,20913.105,20683.682,17150.229,20964.092,16582.893,18832.873,21021.242,22745.16,21381.414,22788.71,21342.184,18296.467,21377.803,21369.72,21467.766,19672.998
36,21423.72,26365.873,22850.926,21981.713,21736.322,21522.924,17713.41,21812.623,17138.17,19524.604,21848.545,23679.443,22280.871,23766.68,22216.582,18984.734,22266.006,22316.863,22349.105,20415.627
37,22155.732,27464.807,23833.273,22853.033,22602.71,22404.99,18303.502,22697.588,17710.922,20249.295,22708.467,24652.93,23212.803,24796.66,23141.734,19702.73,23204.31,23284.584,23265.654,21200.607
38,22909.525,28589.984,24833.773,23734.992,23490.443,23301.51,18904.857,23612.318,18285.264,20989.78,23592.03,25652.916,24174.334,25844.307,24060.217,20423.209,24158.383,24292.97,24211.66,21991.285
39,23673.842,29764.873,25865.023,24647.416,24385.32,24229.129,19524.906,24539.875,18874.49,21751.645,24502.254,26689.055,25153.158,26929.016,25024.184,21174.12,25128.37,25350.422,25185.676,22813.81
40,24470.736,30982.17,26943.43,25585.732,25320.72,25182.27,20165.047,25512.707,19478.12,22549.209,25459.832,27775.895,26203.348,28060.195,26026.373,21960.787,26164.555,26466.775,26214.816,23654.707
