,0,1,2,3,4,5,6,7,8,9
0,3175065.8,3175065.8,3175065.8,3175065.8,3175065.8,3175065.8,3175065.8,3175065.8,3175065.8,3175065.8
1,3175074.5,3175082.5,3175074.5,3175075.5,3175077.5,3175072.5,3175073.5,3175081.5,3175073.5,3175079.5
2,3175051.0,3175047.5,3175044.2,3175048.2,3175044.8,3175054.5,3175042.8,3175047.5,3175046.2,3175043.8
3,3174981.5,3174957.8,3174971.5,3174972.5,3174981.2,3174998.0,3174972.0,3174983.0,3174983.0,3174973.2
4,3174875.0,3174817.2,3174863.0,3174866.8,3174878.5,3174906.2,3174865.0,3174875.5,3174882.5,3174869.0
5,3174736.5,3174635.5,3174717.2,3174724.2,3174741.2,3174790.2,3174731.0,3174738.5,3174752.5,3174728.5
6,3174565.8,3174417.8,3174536.2,3174542.2,3174581.0,3174645.5,3174563.2,3174573.0,3174591.8,3174559.2
7,3174370.5,3174157.2,3174324.0,3174334.5,3174384.5,3174470.5,3174365.8,3174379.8,3174401.8,3174355.8
8,3174140.2,3173864.0,3174083.8,3174095.0,3174153.0,3174275.8,3174134.8,3174156.0,3174185.8,3174126.0
9,3173885.0,3173526.8,3173814.8,3173823.8,3173900.8,3174060.0,3173881.0,3173899.8,3173942.0,3173869.0
10,3173597.2,3173152.8,3173522.5,3173530.5,3173620.0,3173819.0,3173600.2,3173619.2,3173682.2,3173585.5
11,3173288.2,3172751.0,3173197.8,3173213.0,3173312.5,3173553.8,3173291.5,3173319.2,3173390.5,3173274.2
12,3172959.0,3172315.0,3172847.8,3172867.8,3172981.0,3173263.8,3172960.0,3172991.8,3173077.8,3172939.8
13,3172599.5,3171845.5,3172477.0,3172497.0,3172625.2,3172962.8,3172608.8,3172647.5,3172738.8,3172586.5
14,3172217.0,3171348.2,3172080.5,3172102.5,3172249.5,3172637.5,3172232.8,3172275.5,3172379.0,3172202.2
15,3171813.5,3170822.5,3171656.2,3171685.2,3171850.8,3172295.5,3171834.2,3171882.8,3171995.0,3171796.8
16,3171391.2,3170259.8,3171214.0,3171247.5,3171437.5,3171932.5,3171411.8,3171463.5,3171595.8,3171373.8
17,3170946.5,3169675.5,3170749.8,3170785.8,3170991.2,3171558.0,3170970.0,3171031.8,3171174.5,3170935.5
18,3170482.0,3169064.2,3170257.2,3170298.0,3170525.5,3171164.0,3170507.2,3170576.0,3170731.0,3170476.0
19,3169994.5,3168424.8,3169747.5,3169798.8,3170042.5,3170753.5,3170022.8,3170102.8,3170262.2,3169993.8
20,3169485.2,3167748.5,3169221.2,3169270.0,3169538.0,3170327.2,3169521.5,3169599.2,3169774.8,3169492.5
21,3168958.2,3167042.2,3168670.2,3168727.0,3169015.0,3169883.5,3169001.0,3169082.2,3169267.0,3168973.2
22,3168409.5,3166317.2,3168094.8,3168158.8,3168467.0,3169429.8,3168466.2,3168544.8,3168740.0,3168432.2
23,3167840.0,3165553.8,3167499.2,3167568.0,3167901.5,3168957.2,3167907.8,3167988.8,3168194.2,3167877.8
24,3167245.5,3164760.2,3166880.0,3166951.5,3167313.0,3168476.8,3167330.0,3167410.0,3167620.8,3167304.5
25,3166628.2,3163935.8,3166234.8,3166324.8,3166700.8,3167976.0,3166731.2,3166809.5,3167030.2,3166712.2
26,3165990.8,3163085.0,3165562.8,3165672.2,3166065.5,3167458.0,3166108.2,3166190.8,3166415.0,3166100.5
27,3165327.5,3162195.2,3164874.0,3165003.8,3165421.2,3166927.2,3165461.8,3165549.2,3165779.0,3165473.8
28,3164639.8,3161283.0,3164163.8,3164299.5,3164748.5,3166382.0,3164789.2,3164890.5,3165124.0,3164830.2
29,3163924.0,3160324.8,3163428.0,3163577.5,3164044.8,3165819.0,3164091.8,3164204.5,3164437.5,3164170.2
30,3163184.2,3159335.2,3162659.5,3162822.2,3163316.0,3165231.0,3163381.0,3163492.5,3163734.5,3163481.8
