Latitude: 33.648  Longitude: -116.38
X & Y on Lambert Conformal Conic: -1459370.98 -797850.56
Tile: 11012
Elevation: 323 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,prcp (mm/day),tmax (deg c),tmin (deg c)
2015,1,0.00,11.29,-3.38
2015,2,0.00,14.98,-2.60
2015,3,0.00,15.04,-0.85
2015,4,0.00,17.87,1.17
2015,5,0.00,22.56,3.76
2015,6,0.00,24.74,5.09
2015,7,0.00,26.57,7.28
2015,8,0.00,23.73,9.48
2015,9,0.00,22.42,8.63
2015,10,0.00,20.42,7.78
2015,11,0.96,17.46,11.84
2015,12,0.00,20.06,9.80
2015,13,0.00,21.03,7.86
2015,14,0.00,21.59,7.27
2015,15,0.00,22.20,6.15
2015,16,0.00,22.84,5.66
2015,17,0.00,24.36,6.48
2015,18,0.00,24.64,6.63
2015,19,0.00,25.46,7.32
2015,20,0.00,24.15,7.42
2015,21,0.00,23.67,9.52
2015,22,0.00,21.84,7.18
2015,23,0.00,19.96,4.64
2015,24,0.00,24.16,7.59
2015,25,0.00,26.02,10.53
2015,26,6.11,19.06,10.78
2015,27,0.00,20.13,10.85
2015,28,0.00,22.04,8.63
2015,29,0.00,21.85,13.11
2015,30,1.75,17.70,11.92
2015,31,0.00,19.96,10.73
2015,32,0.00,24.94,8.32
2015,33,0.00,25.49,7.71
2015,34,0.00,25.93,8.09
2015,35,0.00,26.72,8.39
2015,36,0.00,26.80,8.28
2015,37,0.00,26.76,8.92
2015,38,0.00,26.76,7.60
2015,39,0.00,27.95,12.44
2015,40,0.00,29.17,11.31
2015,41,0.00,28.48,11.50
2015,42,0.00,27.79,11.71
2015,43,0.00,26.98,11.48
2015,44,0.00,28.91,10.33
2015,45,0.00,29.59,10.13
2015,46,0.00,25.72,10.27
2015,47,0.00,25.17,9.25
2015,48,0.00,25.76,9.35
2015,49,0.00,27.46,9.71
2015,50,0.00,27.21,9.76
2015,51,0.00,26.14,10.97
2015,52,0.00,24.49,9.20
2015,53,3.06,19.58,10.41
2015,54,3.78,18.52,9.71
2015,55,0.00,21.60,7.05
2015,56,0.00,24.95,5.22
2015,57,0.00,24.30,7.56
2015,58,0.00,22.01,9.52
2015,59,0.00,18.65,10.42
2015,60,10.85,12.69,8.86
2015,61,6.66,14.52,6.53
2015,62,0.00,18.52,3.87
2015,63,0.00,20.84,7.05
2015,64,0.00,23.29,6.47
2015,65,0.00,26.83,9.15
2015,66,0.00,28.77,11.54
2015,67,0.00,28.81,9.82
2015,68,0.00,29.88,11.32
