Latitude: 33.737  Longitude: -117.7
X & Y on Lambert Conformal Conic: -1573263.43 -764511.83
Tile: 11012
Elevation: 454 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,prcp (mm/day),tmax (deg c),tmin (deg c)
2015,1,0.00,13.25,2.96
2015,2,0.00,14.44,4.05
2015,3,0.00,16.25,4.85
2015,4,0.00,20.18,5.98
2015,5,0.00,24.17,8.85
2015,6,0.00,26.66,12.50
2015,7,0.00,26.35,12.14
2015,8,0.00,22.15,11.46
2015,9,0.00,20.13,12.08
2015,10,10.40,17.93,10.62
2015,11,16.07,14.68,11.61
2015,12,0.00,17.28,9.90
2015,13,0.00,18.34,10.32
2015,14,0.00,19.74,9.93
2015,15,0.00,21.80,9.75
2015,16,0.00,22.88,10.12
2015,17,0.00,23.60,10.17
2015,18,0.00,22.93,10.94
2015,19,0.00,21.53,10.43
2015,20,0.00,18.23,10.32
2015,21,0.00,20.79,10.18
2015,22,0.00,21.16,10.90
2015,23,0.00,21.80,9.98
2015,24,0.00,23.77,13.91
2015,25,0.00,26.07,14.20
2015,26,5.28,22.84,11.04
2015,27,0.00,21.70,11.33
2015,28,0.00,21.20,11.64
2015,29,0.00,20.74,14.22
2015,30,0.00,18.03,12.02
2015,31,0.00,19.08,10.90
2015,32,0.00,23.20,10.99
2015,33,0.00,24.20,11.65
2015,34,0.00,23.19,11.30
2015,35,0.00,24.07,10.91
2015,36,0.00,27.11,11.28
2015,37,0.00,24.39,11.14
2015,38,0.00,22.28,10.51
2015,39,0.00,24.55,12.76
2015,40,0.00,23.70,13.35
2015,41,0.00,24.09,10.87
2015,42,0.00,26.60,13.45
2015,43,0.00,27.67,16.27
2015,44,0.00,28.98,14.38
2015,45,0.00,28.73,13.73
2015,46,0.00,26.21,12.06
2015,47,0.00,23.03,10.67
2015,48,0.00,22.48,11.24
2015,49,0.00,22.91,10.48
2015,50,0.00,23.28,12.49
2015,51,0.00,21.33,10.65
2015,52,0.00,19.48,10.14
2015,53,24.28,15.24,9.80
2015,54,0.00,16.28,8.00
2015,55,0.00,20.11,7.80
2015,56,0.00,21.81,9.51
2015,57,0.00,20.43,9.26
2015,58,0.00,17.17,9.12
2015,59,3.65,15.46,8.94
2015,60,6.20,13.65,8.05
2015,61,7.21,13.74,6.45
2015,62,0.00,17.62,6.46
2015,63,0.00,20.32,7.96
2015,64,0.00,22.82,9.52
2015,65,0.00,26.46,11.59
2015,66,0.00,27.92,13.26
2015,67,0.00,24.57,10.81
2015,68,0.00,23.47,10.72
2015,69,0.00,27.40,11.48
2015,70,0.00,23.60,14.83
2015,71,0.00,27.34,13.14
2015,72,0.00,29.90,17.17
2015,73,0.00,32.27,17.52
2015,74,0.00,32.02,18.37
2015,75,0.00,30.86,17.28
2015,76,0.00,27.39,14.43
2015,77,0.00,21.84,12.82
2015,78,0.00,23.61,11.73
2015,79,0.00,26.44,12.71
2015,80,0.00,24.41,12.22
2015,81,0.00,22.16,11.09
2015,82,0.00,21.06,10.37
2015,83,0.00,22.93,11.10
2015,84,0.00,26.86,12.96
2015,85,0.00,31.98,15.47
2015,86,0.00,32.17,16.29
2015,87,0.00,28.77,14.62
2015,88,0.00,27.65,14.13
2015,89,0.00,27.48,13.36
2015,90,0.00,24.11,11.83
2015,91,0.00,23.56,10.73
2015,92,0.00,22.66,10.61
2015,93,0.00,28.37,12.34
2015,94,0.00,27.46,12.56
2015,95,0.00,21.51,10.30
2015,96,0.00,18.85,8.68
2015,97,8.04,18.16,7.54
2015,98,0.00,19.16,7.00
2015,99,0.00,22.40,9.97
2015,100,0.00,21.54,9.10
2015,101,0.00,22.75,10.14
2015,102,0.00,24.23,11.49
2015,103,0.00,24.72,12.16
2015,104,0.00,23.82,11.48
2015,105,0.00,26.09,11.68
2015,106,0.00,26.62,13.58
2015,107,0.00,27.72,13.11
2015,108,0.00,26.60,13.19
2015,109,0.00,25.10,12.37
2015,110,0.00,22.20,10.38
2015,111,0.00,16.63,11.06
2015,112,0.00,17.99,10.22
2015,113,0.00,17.31,10.65
2015,114,0.22,15.91,11.15
