Latitude: 33.61  Longitude: -116.45
X & Y on Lambert Conformal Conic: -1466325.03 -800618.74
Tile: 11012
Elevation: 1304 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,prcp (mm/day),tmax (deg c),tmin (deg c)
2015,1,0.00,5.75,-7.91
2015,2,0.00,8.96,-5.80
2015,3,0.00,11.35,-4.36
2015,4,0.00,15.59,-0.71
2015,5,0.00,18.95,2.14
2015,6,0.00,20.78,3.62
2015,7,0.00,21.60,5.49
2015,8,0.00,18.34,6.42
2015,9,0.00,17.17,5.02
2015,10,0.00,14.83,3.36
2015,11,2.32,11.46,6.87
2015,12,0.00,13.32,3.65
2015,13,0.00,12.82,2.46
2015,14,0.00,14.97,1.83
2015,15,0.00,15.54,2.06
2015,16,0.00,18.08,1.35
2015,17,0.00,18.33,3.12
2015,18,0.00,20.90,3.44
2015,19,0.00,21.88,5.01
2015,20,0.00,20.20,4.15
2015,21,0.00,15.79,4.12
2015,22,0.00,14.42,3.49
2015,23,0.00,15.39,1.75
2015,24,0.00,16.79,5.90
2015,25,0.00,19.15,7.46
2015,26,6.13,14.22,7.16
2015,27,0.00,15.09,4.20
2015,28,0.00,16.78,2.88
2015,29,0.00,15.50,7.51
2015,30,2.17,10.44,5.95
2015,31,0.00,11.60,5.31
2015,32,0.00,18.64,4.04
2015,33,0.00,20.34,4.29
2015,34,0.00,20.79,4.97
2015,35,0.00,21.59,5.13
2015,36,0.00,21.83,4.94
2015,37,0.00,21.56,4.38
2015,38,0.00,19.57,4.62
2015,39,0.00,21.59,7.10
2015,40,0.00,22.00,5.74
2015,41,0.00,22.39,6.06
2015,42,0.00,20.60,7.05
2015,43,0.00,20.24,7.66
2015,44,0.00,22.46,7.54
2015,45,0.00,22.32,6.39
2015,46,0.00,21.08,5.98
2015,47,0.00,20.23,6.16
2015,48,0.00,20.11,6.18
2015,49,0.00,22.25,4.58
2015,50,0.00,22.44,5.38
2015,51,0.00,19.61,6.27
2015,52,0.00,19.00,4.04
2015,53,15.80,9.88,3.46
2015,54,15.80,8.94,3.01
2015,55,0.00,12.48,0.14
2015,56,0.00,17.88,0.89
2015,57,0.00,16.79,3.23
2015,58,0.00,13.71,2.19
2015,59,0.00,8.46,3.52
2015,60,12.85,5.33,2.77
2015,61,8.77,5.44,-0.26
2015,62,0.00,10.76,-1.26
2015,63,0.00,12.97,0.10
2015,64,0.00,15.46,1.54
2015,65,0.00,18.32,5.41
2015,66,0.00,20.90,5.05
2015,67,0.00,21.64,3.97
2015,68,0.00,21.96,6.17
2015,69,0.00,22.92,5.10
2015,70,0.00,20.15,7.40
2015,71,0.00,20.43,5.32
2015,72,0.00,21.67,12.17
2015,73,0.00,23.40,10.41
2015,74,0.00,22.98,8.92
2015,75,0.00,23.68,8.56
2015,76,0.00,22.48,7.49
2015,77,0.00,18.78,7.66
2015,78,0.00,18.69,6.80
2015,79,0.00,22.22,5.74
2015,80,0.00,22.76,6.02
2015,81,0.00,19.61,7.88
2015,82,0.00,19.72,6.75
2015,83,0.00,20.63,7.81
2015,84,0.00,23.45,9.32
2015,85,0.00,25.46,7.92
2015,86,0.00,27.20,7.52
2015,87,0.00,27.19,8.45
2015,88,0.00,27.30,9.20
2015,89,0.00,27.34,8.96
2015,90,0.00,24.25,8.85
2015,91,0.00,22.79,7.28
2015,92,0.00,20.42,5.07
2015,93,0.00,21.58,5.51
2015,94,0.00,21.66,3.64
2015,95,0.00,18.70,4.76
2015,96,0.00,15.59,3.04
2015,97,0.00,14.60,2.38
2015,98,0.00,15.90,2.04
2015,99,0.00,19.14,2.58
2015,100,0.00,20.48,3.47
2015,101,0.00,21.25,5.00
2015,102,0.00,23.46,6.69
2015,103,0.00,25.05,8.26
2015,104,0.00,23.89,7.90
2015,105,0.00,20.13,5.84
2015,106,0.00,19.84,3.84
2015,107,0.00,22.46,3.29
2015,108,0.00,24.11,5.82
2015,109,0.00,25.03,6.92
2015,110,0.00,23.51,8.07
2015,111,0.00,17.49,5.93
2015,112,0.00,17.79,4.37
2015,113,0.00,14.73,5.87
2015,114,0.00,13.83,6.93
2015,115,0.00,10.56,5.09
2015,116,0.00,18.27,5.83
2015,117,0.00,23.35,7.16
2015,118,0.00,26.15,7.30
2015,119,0.00,28.30,9.62
2015,120,0.00,28.44,11.41
2015,121,0.00,27.86,13.42
2015,122,0.00,26.09,12.05
2015,123,0.00,23.51,9.01
2015,124,0.00,21.27,7.36
2015,125,0.00,21.58,5.87
2015,126,0.00,18.58,5.83
2015,127,0.00,12.54,3.30
2015,128,0.00,7.41,2.13
2015,129,0.00,14.26,4.06
2015,130,0.00,22.78,7.10
2015,131,0.00,23.71,8.47
2015,132,0.00,20.72,8.28
2015,133,0.00,19.54,3.73
2015,134,0.00,11.80,3.96
2015,135,13.86,9.60,3.13
2015,136,0.00,13.92,2.59
