Latitude: 33.823  Longitude: -116.75
X & Y on Lambert Conformal Conic: -1488155.18 -772923.41
Tile: 11012
Elevation: 2197 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,prcp (mm/day),tmax (deg c),tmin (deg c)
2015,1,0.00,1.90,-10.91
2015,2,0.00,5.06,-6.79
2015,3,0.00,9.00,-5.57
2015,4,0.00,14.21,0.13
2015,5,0.00,18.06,1.79
2015,6,0.00,19.73,5.84
2015,7,0.00,19.18,5.67
2015,8,0.00,14.02,4.17
2015,9,0.00,11.90,2.79
2015,10,0.00,9.30,0.13
2015,11,7.64,6.08,2.12
2015,12,0.00,7.55,-1.59
2015,13,0.00,5.27,-2.73
2015,14,0.00,10.25,-2.49
2015,15,0.00,11.71,-1.18
2015,16,0.00,15.81,-1.12
2015,17,0.00,14.91,2.52
2015,18,0.00,18.22,3.25
2015,19,0.00,18.82,4.66
2015,20,0.00,15.60,2.09
2015,21,0.00,9.16,-0.75
2015,22,0.00,9.95,-0.07
2015,23,0.00,13.21,-0.46
2015,24,0.00,12.03,4.34
2015,25,0.00,14.76,5.56
2015,26,4.83,11.03,5.50
2015,27,0.00,11.27,-1.26
2015,28,0.00,13.52,-1.68
2015,29,1.28,10.57,2.39
2015,30,3.50,4.10,0.69
2015,31,0.92,4.45,0.80
2015,32,0.00,13.44,0.75
2015,33,0.00,16.03,2.73
2015,34,0.00,16.09,2.86
2015,35,0.00,17.18,2.75
2015,36,0.00,18.20,2.45
2015,37,0.00,17.21,1.48
2015,38,0.00,13.37,3.13
2015,39,0.00,15.71,2.12
2015,40,0.00,15.28,2.66
2015,41,0.00,17.95,1.62
2015,42,0.00,15.38,2.51
2015,43,0.00,16.21,4.75
2015,44,0.00,18.93,7.17
2015,45,0.00,16.32,4.76
2015,46,0.00,17.51,3.60
2015,47,0.00,16.21,3.56
2015,48,0.00,16.01,3.25
2015,49,0.00,18.08,0.89
2015,50,0.00,17.96,2.50
2015,51,0.00,14.08,2.61
2015,52,0.00,14.14,0.36
2015,53,34.64,0.78,-2.88
2015,54,23.13,0.77,-3.35
2015,55,0.00,4.37,-5.99
2015,56,0.00,12.01,-1.45
2015,57,0.00,10.84,0.27
2015,58,0.00,6.80,-3.53
2015,59,8.71,-0.77,-2.97
2015,60,16.76,-1.03,-3.08
2015,61,12.01,-1.55,-6.26
2015,62,0.00,4.06,-5.73
2015,63,0.00,6.39,-5.67
2015,64,0.00,10.41,-2.02
2015,65,0.00,12.22,1.19
2015,66,0.00,14.55,0.84
2015,67,0.00,15.88,0.56
2015,68,0.00,14.84,2.15
2015,69,0.00,15.63,0.93
2015,70,0.00,13.30,2.32
2015,71,0.00,13.31,-0.86
2015,72,0.00,15.23,6.44
2015,73,0.00,16.43,6.71
2015,74,0.00,16.61,5.03
2015,75,0.00,17.14,5.09
2015,76,0.00,15.66,3.68
2015,77,0.00,12.63,2.21
2015,78,0.00,13.43,1.38
2015,79,0.00,18.14,1.33
2015,80,0.00,17.00,2.05
2015,81,0.00,12.60,2.39
2015,82,0.00,12.70,1.48
2015,83,0.00,13.98,2.61
2015,84,0.00,17.86,3.71
2015,85,0.00,19.80,3.49
2015,86,0.00,21.45,3.46
2015,87,0.00,20.71,4.44
2015,88,0.00,21.16,4.05
2015,89,0.00,21.30,4.10
2015,90,0.00,17.35,3.60
2015,91,0.00,15.18,-0.19
2015,92,0.00,13.54,-1.58
2015,93,0.00,16.15,0.01
2015,94,0.00,14.88,-1.46
2015,95,0.00,11.11,-1.83
2015,96,0.00,9.07,-5.48
2015,97,0.00,7.70,-4.66
2015,98,0.00,9.31,-6.33
2015,99,0.00,12.36,-3.70
2015,100,0.00,13.95,-3.06
2015,101,0.00,14.60,-2.02
2015,102,0.00,19.24,2.04
2015,103,0.00,19.21,3.55
2015,104,0.00,18.13,2.35
2015,105,0.00,16.39,-1.50
2015,106,0.00,15.41,-0.91
2015,107,0.00,16.04,-0.64
2015,108,0.00,17.99,1.51
2015,109,0.00,18.68,2.17
2015,110,0.00,17.02,1.93
2015,111,0.00,10.29,0.31
2015,112,0.00,11.23,-3.98
2015,113,0.00,5.99,-2.00
2015,114,5.00,5.53,1.14
2015,115,20.84,2.40,-2.77
2015,116,0.00,10.48,-1.99
2015,117,0.00,17.86,0.31
2015,118,0.00,20.08,1.26
2015,119,0.00,21.77,3.59
2015,120,0.00,21.15,6.59
2015,121,0.00,20.45,6.41
2015,122,0.00,18.69,4.86
2015,123,0.00,16.01,2.34
2015,124,0.00,14.26,-0.03
2015,125,0.00,15.67,-1.59
2015,126,0.00,11.82,-2.75
2015,127,10.72,4.35,-5.33
2015,128,17.63,-2.39,-5.33
2015,129,0.00,5.44,-2.31
2015,130,0.00,15.53,-0.01
2015,131,0.00,15.98,1.92
2015,132,0.00,12.35,0.65
2015,133,0.00,12.51,-2.24
2015,134,21.20,2.31,-4.61
2015,135,17.93,4.83,-2.72
2015,136,0.00,5.39,-2.85
2015,137,0.00,11.59,-2.83
2015,138,0.00,7.93,-2.96
2015,139,0.00,11.50,-2.31
2015,140,0.00,12.68,-1.65
2015,141,0.00,6.36,-2.35
2015,142,3.86,1.36,-0.98
2015,143,2.66,4.83,0.14
2015,144,0.00,11.84,-0.53
2015,145,0.00,16.28,2.44
2015,146,0.00,16.34,1.56
2015,147,0.00,18.22,1.38
2015,148,0.00,20.94,5.22
2015,149,0.00,23.43,7.44
2015,150,0.00,24.09,8.43
2015,151,0.00,23.19,7.88
2015,152,0.00,19.72,5.57
2015,153,0.00,18.76,2.83
2015,154,0.00,16.33,1.82
2015,155,0.00,15.36,1.43
2015,156,0.00,13.28,-2.44
2015,157,0.00,17.62,1.18
2015,158,0.00,23.54,5.22
2015,159,0.00,27.00,9.62
