Date,Year,Day of Year,Day of Run,Total Precipitation
1/1/09,2009,1,1,0
1/2/09,2009,2,2,0
1/3/09,2009,3,3,0
1/4/09,2009,4,4,0.12
1/5/09,2009,5,5,0
1/6/09,2009,6,6,0
1/7/09,2009,7,7,0
1/8/09,2009,8,8,0
1/9/09,2009,9,9,0
1/10/09,2009,10,10,0
1/11/09,2009,11,11,0
1/12/09,2009,12,12,0
1/13/09,2009,13,13,0
1/14/09,2009,14,14,0
1/15/09,2009,15,15,0
1/16/09,2009,16,16,0
1/17/09,2009,17,17,0
1/18/09,2009,18,18,0
1/19/09,2009,19,19,0
1/20/09,2009,20,20,0.01
1/21/09,2009,21,21,0.03
1/22/09,2009,22,22,0.1
1/23/09,2009,23,23,0.13
1/24/09,2009,24,24,0
1/25/09,2009,25,25,0
1/26/09,2009,26,26,0.03
1/27/09,2009,27,27,0
1/28/09,2009,28,28,0
1/29/09,2009,29,29,0
1/30/09,2009,30,30,0
1/31/09,2009,31,31,0
2/1/09,2009,32,32,0
2/2/09,2009,33,33,0
2/3/09,2009,34,34,0
2/4/09,2009,35,35,0
2/5/09,2009,36,36,0
2/6/09,2009,37,37,0.29
2/7/09,2009,38,38,0.18
2/8/09,2009,39,39,0.36
2/9/09,2009,40,40,0
2/10/09,2009,41,41,0.66
2/11/09,2009,42,42,0
2/12/09,2009,43,43,0
2/13/09,2009,44,44,0
2/14/09,2009,45,45,0.01
2/15/09,2009,46,46,0
2/16/09,2009,47,47,0
2/17/09,2009,48,48,0.47
2/18/09,2009,49,49,0
2/19/09,2009,50,50,0
2/20/09,2009,51,51,0
2/21/09,2009,52,52,0.02
2/22/09,2009,53,53,0.06
2/23/09,2009,54,54,0
2/24/09,2009,55,55,0
2/25/09,2009,56,56,0
2/26/09,2009,57,57,0
2/27/09,2009,58,58,0
2/28/09,2009,59,59,0
3/1/09,2009,60,60,0
3/2/09,2009,61,61,0
3/3/09,2009,62,62,0
3/4/09,2009,63,63,0
3/5/09,2009,64,64,0
3/6/09,2009,65,65,0
3/7/09,2009,66,66,0
3/8/09,2009,67,67,0
3/9/09,2009,68,68,0
3/10/09,2009,69,69,0
3/11/09,2009,70,70,0
3/12/09,2009,71,71,0
3/13/09,2009,72,72,0
3/14/09,2009,73,73,0
3/15/09,2009,74,74,0
3/16/09,2009,75,75,0
3/17/09,2009,76,76,0
3/18/09,2009,77,77,0
3/19/09,2009,78,78,0
3/20/09,2009,79,79,0
3/21/09,2009,80,80,0
3/22/09,2009,81,81,0
3/23/09,2009,82,82,0.03
3/24/09,2009,83,83,0
3/25/09,2009,84,84,0
3/26/09,2009,85,85,0
3/27/09,2009,86,86,0
3/28/09,2009,87,87,0
3/29/09,2009,88,88,0
3/30/09,2009,89,89,0
3/31/09,2009,90,90,0
4/1/09,2009,91,91,0
4/2/09,2009,92,92,0
4/3/09,2009,93,93,0
4/4/09,2009,94,94,0
4/5/09,2009,95,95,0
4/6/09,2009,96,96,0
4/7/09,2009,97,97,0
4/8/09,2009,98,98,0
4/9/09,2009,99,99,0
4/10/09,2009,100,100,0
4/11/09,2009,101,101,0.08
4/12/09,2009,102,102,0
4/13/09,2009,103,103,0
4/14/09,2009,104,104,0
4/15/09,2009,105,105,0
4/16/09,2009,106,106,0
4/17/09,2009,107,107,0
4/18/09,2009,108,108,0
4/19/09,2009,109,109,0
4/20/09,2009,110,110,0
4/21/09,2009,111,111,0
4/22/09,2009,112,112,0
4/23/09,2009,113,113,0
4/24/09,2009,114,114,0
4/25/09,2009,115,115,0
4/26/09,2009,116,116,0
4/27/09,2009,117,117,0
4/28/09,2009,118,118,0
4/29/09,2009,119,119,0
4/30/09,2009,120,120,0
5/1/09,2009,121,121,0.01
5/2/09,2009,122,122,0
5/3/09,2009,123,123,0
5/4/09,2009,124,124,0
5/5/09,2009,125,125,0
5/6/09,2009,126,126,0
5/7/09,2009,127,127,0
5/8/09,2009,128,128,0
5/9/09,2009,129,129,0
5/10/09,2009,130,130,0
5/11/09,2009,131,131,0
5/12/09,2009,132,132,0
5/13/09,2009,133,133,0
5/14/09,2009,134,134,0
5/15/09,2009,135,135,0
5/16/09,2009,136,136,0
5/17/09,2009,137,137,0
5/18/09,2009,138,138,0
5/19/09,2009,139,139,0
5/20/09,2009,140,140,0
5/21/09,2009,141,141,0
5/22/09,2009,142,142,0
5/23/09,2009,143,143,0
5/24/09,2009,144,144,0
5/25/09,2009,145,145,0
5/26/09,2009,146,146,0
5/27/09,2009,147,147,0
5/28/09,2009,148,148,0
5/29/09,2009,149,149,0
5/30/09,2009,150,150,0
5/31/09,2009,151,151,0
6/1/09,2009,152,152,0
6/2/09,2009,153,153,0
6/3/09,2009,154,154,0
6/4/09,2009,155,155,0
6/5/09,2009,156,156,0
6/6/09,2009,157,157,0
6/7/09,2009,158,158,0
6/8/09,2009,159,159,0
6/9/09,2009,160,160,0
6/10/09,2009,161,161,0
6/11/09,2009,162,162,0
6/12/09,2009,163,163,0
6/13/09,2009,164,164,0
6/14/09,2009,165,165,0
6/15/09,2009,166,166,0
6/16/09,2009,167,167,0
6/17/09,2009,168,168,0
6/18/09,2009,169,169,0
6/19/09,2009,170,170,0
6/20/09,2009,171,171,0
6/21/09,2009,172,172,0
6/22/09,2009,173,173,0
6/23/09,2009,174,174,0
6/24/09,2009,175,175,0
6/25/09,2009,176,176,0
6/26/09,2009,177,177,0
6/27/09,2009,178,178,0
6/28/09,2009,179,179,0
6/29/09,2009,180,180,0
6/30/09,2009,181,181,0
7/1/09,2009,182,182,0.01
7/2/09,2009,183,183,0
7/3/09,2009,184,184,0
7/4/09,2009,185,185,0
7/5/09,2009,186,186,0
7/6/09,2009,187,187,0
7/7/09,2009,188,188,0
7/8/09,2009,189,189,0
7/9/09,2009,190,190,0
7/10/09,2009,191,191,0
7/11/09,2009,192,192,0
7/12/09,2009,193,193,0
7/13/09,2009,194,194,0
7/14/09,2009,195,195,0
7/15/09,2009,196,196,0
7/16/09,2009,197,197,0
7/17/09,2009,198,198,0
7/18/09,2009,199,199,0
7/19/09,2009,200,200,0.03
7/20/09,2009,201,201,0
7/21/09,2009,202,202,0
7/22/09,2009,203,203,0
7/23/09,2009,204,204,0
7/24/09,2009,205,205,0.03
7/25/09,2009,206,206,0
7/26/09,2009,207,207,0
7/27/09,2009,208,208,0
7/28/09,2009,209,209,0
7/29/09,2009,210,210,0
7/30/09,2009,211,211,0
7/31/09,2009,212,212,0
8/1/09,2009,213,213,0
8/2/09,2009,214,214,0
8/3/09,2009,215,215,0
8/4/09,2009,216,216,0
8/5/09,2009,217,217,0
8/6/09,2009,218,218,0
8/7/09,2009,219,219,0
8/8/09,2009,220,220,0
8/9/09,2009,221,221,0
8/10/09,2009,222,222,0
8/11/09,2009,223,223,0
8/12/09,2009,224,224,0
8/13/09,2009,225,225,0
8/14/09,2009,226,226,0
8/15/09,2009,227,227,0
8/16/09,2009,228,228,0
8/17/09,2009,229,229,0
8/18/09,2009,230,230,0
8/19/09,2009,231,231,0
8/20/09,2009,232,232,0
8/21/09,2009,233,233,0
8/22/09,2009,234,234,0.13
8/23/09,2009,235,235,0
8/24/09,2009,236,236,0
8/25/09,2009,237,237,0
8/26/09,2009,238,238,0
8/27/09,2009,239,239,0
8/28/09,2009,240,240,0
8/29/09,2009,241,241,0
8/30/09,2009,242,242,0
8/31/09,2009,243,243,0
9/1/09,2009,244,244,0
9/2/09,2009,245,245,0
9/3/09,2009,246,246,0
9/4/09,2009,247,247,0
9/5/09,2009,248,248,0
9/6/09,2009,249,249,0
9/7/09,2009,250,250,0
9/8/09,2009,251,251,0
9/9/09,2009,252,252,0
9/10/09,2009,253,253,0
9/11/09,2009,254,254,0
9/12/09,2009,255,255,0
9/13/09,2009,256,256,0
9/14/09,2009,257,257,0
9/15/09,2009,258,258,0
9/16/09,2009,259,259,0
