,C,N,P
DeadMic,0.0,0.0,0.0
DeadEnz,0.0,0.0,0.0
Cellulose,83.50640472799999,0.0,0.0
Hemicellulose,20.522760483999996,0.0,0.0
Starch,36.268671545,0.0,0.0
Chitin,26.980705602446466,4.496820275917036,0.0
Lignin,48.7773788647934,0.4064781572066116,0.0
Protein1,2.8063043267249683,0.555182304275031,0.0
Protein2,2.8063043267249683,0.555182304275031,0.0
Protein3,2.8063043267249683,0.555182304275031,0.0
OrgP1,67.40855339496555,0.0,2.584367238328187
OrgP2,9.820691649256919,4.307287732757634,2.5843672383281864
